"","class","mean.mass.ug","phylum","kingdom","group"
"1","Bacillariophyceae",0.00446995238095238,"Heterokontophyta","Chromista","phytoplankton"
"2","Bivalvia",0.00226,"Mollusca","Animalia","phytoplankton"
"3","Branchiopoda",29.348,"Arthropoda","Animalia","zooplankton"
"4","Chlorophyceae",0.000665271428571429,"Chlorophyta","Plantae","phytoplankton"
"5","Copepoda",110.358,"Arthropoda","Animalia","zooplankton"
"6","Cryptophyceae",0.000825,"Cryptophyta","Chromista","phytoplankton"
"7","Cyanophyceae",0.00043482,"Cyanobacteria","Bacteria","phytoplankton"
"8","Dinophyceae",0.001021,"Myzozoa","Chromista","phytoplankton"
"9","Euglenophyceae",0.002492,"Euglenozoa","Protozoa","phytoplankton"
"10","Eurotatoria",2.77857142857143,"Rotifera","Animalia","zooplankton"
"11","Imbricatea",0.03,"Cercozoa","Chromista","zooplankton"
"12","Oligohymenophorea",0.0146,"Ciliophora","Chromista","zooplankton"
"13","Oligotrichea",0.03,"Ciliophora","Chromista","zooplankton"
"14","Trebouxiophyceae",0.000162228571428571,"Chlorophyta","Plantae","phytoplankton"
"15","Tubulinea",0.03455,"Amoebozoa","Protozoa","zooplankton"
"16","Ulvophyceae",0.0042,"Chlorophyta","Plantae","phytoplankton"
"17","Zygnematophyceae",0.00402475,"Charophyta","Plantae","phytoplankton"
